Id,Title,Type,Category,Genre,Description,Createddate,RankingScore,PopularityScore
49,The Batman 9,Movie,Hollywood,Horror,A masterpiece of direction and acting.,2016-12-29,8.1,98
50,Forrest Gump 4,Movie,Hollywood,Sci-Fi,Mind-bending visuals and deep philosophical themes.,2021-02-15,6.2,68
51,1917,Movie,International,Comedy,An epic journey through space and time.,2020-11-23,8.5,94
52,The Irishman 6,Movie,Blockbuster,"Romance, Romance",A gripping story of heroism and sacrifice.,2019-04-29,6.0,65
53,Fight Club 1,Movie,Hollywood,Adventure,Visual spectacle with groundbreaking effects.,2015-10-07,8.1,74
54,1917 8,Movie,Hollywood,Sci-Fi,Visual spectacle with groundbreaking effects.,2018-07-10,9.0,69
55,Forrest Gump 7,Movie,Classic,"Mystery, Drama",An epic journey through space and time.,2021-10-09,6.0,70
56,Jojo Rabbit,Movie,Hollywood,Thriller,Intense psychological thriller.,2019-07-29,8.7,71
57,Inception,Movie,International,"Action, Fantasy",A gripping story of heroism and sacrifice.,2013-05-16,9.6,75
58,Oppenheimer 1,Movie,Blockbuster,Action,A masterpiece of direction and acting.,2018-04-24,8.7,88
59,Interstellar,Movie,Hollywood,Mystery,A masterpiece of direction and acting.,2013-01-26,7.1,81
60,Fight Club,Movie,Hollywood,"Sci-Fi, Mystery",Intense psychological thriller.,2018-06-14,9.2,70
61,Barbie,Movie,Bollywood,Action,A masterpiece of direction and acting.,2013-01-08,9.3,82
62,No Time to Die,Movie,International,Adventure,Revolutionary storytelling and stunning action.,2022-04-15,7.3,75
63,Forrest Gump,Movie,International,"Adventure, Biography",Mind-bending visuals and deep philosophical themes.,2018-12-17,9.7,71
64,The Revenant 7,Movie,International,"Fantasy, Horror",Intense psychological thriller.,2019-09-24,7.8,88
65,1917,Movie,International,"Comedy, Romance",Heartwarming tale with unforgettable characters.,2013-10-16,7.5,69
66,Top Gun: Maverick 6,Movie,Indie,Drama,Intense psychological thriller.,2024-01-08,8.8,92
67,Everything Everywhere All at Once,Movie,Bollywood,Crime,Heartwarming tale with unforgettable characters.,2017-07-02,7.6,75
68,Fight Club,Movie,Indie,Fantasy,Heartwarming tale with unforgettable characters.,2013-09-06,7.5,92
69,Oppenheimer,Movie,Classic,Mystery,Intense psychological thriller.,2024-07-02,7.7,78
70,Jojo Rabbit,Movie,Indie,Adventure,Intense psychological thriller.,2021-06-30,7.1,87
71,The Grand Budapest Hotel 2,Movie,Bollywood,Adventure,Intense psychological thriller.,2014-10-06,7.1,77
72,The Batman,Movie,Blockbuster,Biography,Heartwarming tale with unforgettable characters.,2020-02-27,7.9,82
73,Top Gun: Maverick 6,Movie,Indie,"Romance, Adventure",Heartwarming tale with unforgettable characters.,2014-01-22,6.6,72
74,Interstellar,Movie,Blockbuster,Fantasy,Visual spectacle with groundbreaking effects.,2014-12-07,9.2,94
75,Oppenheimer 7,Movie,Blockbuster,"Drama, Adventure",Mind-bending visuals and deep philosophical themes.,2025-11-23,8.5,65
76,The Revenant,Movie,International,"Drama, Crime",Mind-bending visuals and deep philosophical themes.,2021-05-11,7.9,94
77,Knives Out,Movie,International,Crime,Visual spectacle with groundbreaking effects.,2024-05-16,7.3,89
78,Whiplash,Movie,Bollywood,Thriller,Visual spectacle with groundbreaking effects.,2019-06-29,7.8,86
79,Tenet 1,Movie,Indie,"Biography, Sci-Fi",An epic journey through space and time.,2019-03-22,8.1,80
80,Forrest Gump 3,Movie,International,"Adventure, Crime",A masterpiece of direction and acting.,2024-11-10,9.1,85
81,Knives Out,Movie,International,"Romance, Thriller",A masterpiece of direction and acting.,2021-12-08,7.4,77
82,Dune 9,Movie,Indie,"Fantasy, Biography",Intense psychological thriller.,2023-07-08,6.9,87
83,The Matrix,Movie,Bollywood,Sci-Fi,Visual spectacle with groundbreaking effects.,2018-02-13,8.9,83
84,Get Out 4,Movie,Indie,Crime,A gripping story of heroism and sacrifice.,2015-10-04,8.2,77
85,Fight Club 8,Movie,Blockbuster,Horror,A masterpiece of direction and acting.,2016-10-17,8.2,98
86,The Revenant 8,Movie,Hollywood,Adventure,Intense psychological thriller.,2020-11-22,8.6,68
87,Jojo Rabbit,Movie,Hollywood,Romance,Intense psychological thriller.,2016-06-23,7.6,93
88,The Batman,Movie,Classic,Drama,Visual spectacle with groundbreaking effects.,2016-06-28,7.7,80
89,The Revenant,Movie,Classic,Crime,Revolutionary storytelling and stunning action.,2019-10-27,8.4,99
90,Top Gun: Maverick,Movie,Bollywood,Crime,Intense psychological thriller.,2013-08-08,8.2,93
91,Dune,Movie,Bollywood,"Drama, Biography",An epic journey through space and time.,2019-06-03,9.7,69
92,Spider-Man: No Way Home,Movie,Blockbuster,Biography,A gripping story of heroism and sacrifice.,2025-07-03,7.7,76
93,Interstellar,Movie,Indie,Comedy,Visual spectacle with groundbreaking effects.,2020-03-11,6.2,98
94,The Grand Budapest Hotel,Movie,Indie,Adventure,Mind-bending visuals and deep philosophical themes.,2019-03-06,8.6,74
95,Once Upon a Time in Hollywood,Movie,Indie,Romance,Revolutionary storytelling and stunning action.,2015-08-06,6.7,70
96,The Shawshank Redemption,Movie,Indie,Biography,Mind-bending visuals and deep philosophical themes.,2021-12-11,8.7,70
97,Once Upon a Time in Hollywood,Movie,International,Sci-Fi,Revolutionary storytelling and stunning action.,2014-04-27,9.2,88
98,1917 2,Movie,Blockbuster,"Mystery, Crime",Revolutionary storytelling and stunning action.,2019-06-30,6.8,68
99,Knives Out,Movie,Blockbuster,"Sci-Fi, Romance",Visual spectacle with groundbreaking effects.,2020-09-22,9.6,92
100,The Grand Budapest Hotel,Movie,Bollywood,"Horror, Drama",Mind-bending visuals and deep philosophical themes.,2023-10-30,8.7,68
101,Inception,Movie,Classic,"Mystery, Mystery",Heartwarming tale with unforgettable characters.,2020-06-25,8.3,69
102,Mad Max: Fury Road,Movie,International,Biography,Visual spectacle with groundbreaking effects.,2016-09-22,6.6,70
103,Barbie,Movie,Indie,"Sci-Fi, Romance",Revolutionary storytelling and stunning action.,2016-09-09,8.4,83
104,Joker 9,Movie,International,"Fantasy, Romance",An epic journey through space and time.,2024-02-28,9.7,68
105,Forrest Gump 8,Movie,Blockbuster,"Drama, Adventure",A gripping story of heroism and sacrifice.,2015-04-10,7.8,84
106,Avengers: Endgame,Movie,Bollywood,Comedy,Heartwarming tale with unforgettable characters.,2015-07-19,7.4,68
107,The Godfather,Movie,Bollywood,"Adventure, Fantasy",Mind-bending visuals and deep philosophical themes.,2023-06-28,9.4,74
108,Top Gun: Maverick 7,Movie,Blockbuster,"Comedy, Horror",Intense psychological thriller.,2018-09-16,7.0,77
109,Pulp Fiction,Movie,Bollywood,"Mystery, Mystery",A masterpiece of direction and acting.,2024-12-22,8.2,89
110,Avengers: Endgame,Movie,Classic,"Romance, Mystery",A masterpiece of direction and acting.,2015-05-08,7.1,88
111,Get Out 6,Movie,Indie,Comedy,Revolutionary storytelling and stunning action.,2013-10-07,6.4,97
112,Parasite 2,Movie,Hollywood,Sci-Fi,Intense psychological thriller.,2019-01-31,6.6,99
113,The Matrix,Movie,Hollywood,Mystery,Mind-bending visuals and deep philosophical themes.,2014-12-16,6.0,66
114,Get Out,Movie,Classic,Romance,Intense psychological thriller.,2013-04-10,8.3,83
115,Barbie,Movie,International,Mystery,Mind-bending visuals and deep philosophical themes.,2017-09-05,8.2,69
116,Avengers: Endgame 8,Movie,International,Action,Visual spectacle with groundbreaking effects.,2022-02-05,9.1,70
117,The Grand Budapest Hotel 8,Movie,Blockbuster,"Mystery, Adventure",A gripping story of heroism and sacrifice.,2024-09-22,7.5,76
118,The Matrix,Movie,International,"Horror, Comedy",Mind-bending visuals and deep philosophical themes.,2018-02-01,7.0,95
119,Knives Out 2,Movie,Blockbuster,"Sci-Fi, Adventure",A masterpiece of direction and acting.,2021-05-27,9.8,78
120,The Irishman,Movie,Blockbuster,Action,Mind-bending visuals and deep philosophical themes.,2025-04-03,8.7,77
121,Dune,Movie,Hollywood,Crime,Mind-bending visuals and deep philosophical themes.,2020-08-20,6.1,76
122,Get Out 7,Movie,Blockbuster,Comedy,A masterpiece of direction and acting.,2019-01-06,9.4,81
123,The Matrix,Movie,Bollywood,"Adventure, Thriller",Heartwarming tale with unforgettable characters.,2020-08-07,7.1,80
124,Once Upon a Time in Hollywood 7,Movie,International,"Mystery, Sci-Fi",Revolutionary storytelling and stunning action.,2021-04-07,9.4,96
125,Top Gun: Maverick,Movie,Hollywood,"Drama, Romance",A masterpiece of direction and acting.,2017-06-18,9.0,88
126,The Godfather,Movie,Hollywood,"Action, Mystery",Heartwarming tale with unforgettable characters.,2023-02-23,9.4,93
127,Top Gun: Maverick,Movie,Hollywood,"Sci-Fi, Romance",A gripping story of heroism and sacrifice.,2021-06-09,9.7,91
128,Inception 7,Movie,Indie,Sci-Fi,Intense psychological thriller.,2024-04-21,8.4,93
129,Barbie 5,Movie,International,Horror,Mind-bending visuals and deep philosophical themes.,2014-07-01,7.5,99
130,Everything Everywhere All at Once,Movie,Indie,Biography,Mind-bending visuals and deep philosophical themes.,2017-02-27,6.7,90
131,Tenet,Movie,International,"Adventure, Romance",Heartwarming tale with unforgettable characters.,2021-10-03,8.5,70
132,Tenet,Movie,Classic,"Drama, Horror",Heartwarming tale with unforgettable characters.,2023-06-29,8.1,70
133,Barbie 6,Movie,Blockbuster,Biography,Visual spectacle with groundbreaking effects.,2025-04-23,6.1,92
134,1917 7,Movie,Indie,Romance,Heartwarming tale with unforgettable characters.,2020-02-13,7.8,94
135,Oppenheimer,Movie,Blockbuster,Horror,A masterpiece of direction and acting.,2017-01-24,9.5,69
136,The Revenant,Movie,Classic,Romance,A masterpiece of direction and acting.,2013-11-20,9.6,96
137,The Grand Budapest Hotel,Movie,Classic,Sci-Fi,Intense psychological thriller.,2024-01-07,6.3,85
138,No Time to Die,Movie,Bollywood,Drama,Visual spectacle with groundbreaking effects.,2019-08-23,9.0,68
139,No Time to Die 8,Movie,Classic,Comedy,Mind-bending visuals and deep philosophical themes.,2015-05-12,7.9,89
140,Whiplash 8,Movie,Classic,Thriller,Revolutionary storytelling and stunning action.,2023-10-13,7.0,65
141,1917,Movie,Hollywood,"Mystery, Biography",An epic journey through space and time.,2015-04-20,7.7,65
142,The Godfather,Movie,Bollywood,"Mystery, Comedy",An epic journey through space and time.,2019-01-30,7.5,71
143,Jojo Rabbit,Movie,International,Biography,Visual spectacle with groundbreaking effects.,2017-12-28,8.6,69
144,The Grand Budapest Hotel,Movie,Indie,"Crime, Mystery",An epic journey through space and time.,2020-12-10,6.8,82
145,Avengers: Endgame,Movie,Hollywood,"Comedy, Horror",Heartwarming tale with unforgettable characters.,2014-09-16,8.1,75
146,The Batman 8,Movie,Classic,Drama,An epic journey through space and time.,2021-12-10,6.4,96
147,The Godfather,Movie,Hollywood,"Drama, Thriller",An epic journey through space and time.,2015-04-22,6.1,87
148,Mad Max: Fury Road,Movie,Bollywood,"Fantasy, Action",A masterpiece of direction and acting.,2019-11-23,9.3,77
149,The Batman,Movie,Bollywood,Sci-Fi,A gripping story of heroism and sacrifice.,2024-07-30,6.8,71
150,The Irishman,Movie,Blockbuster,"Comedy, Action",Revolutionary storytelling and stunning action.,2013-03-01,7.1,94
151,The Dark Knight,Movie,International,Adventure,Mind-bending visuals and deep philosophical themes.,2013-12-27,6.4,95
152,Mad Max: Fury Road,Movie,Indie,"Thriller, Action",An epic journey through space and time.,2021-03-12,7.4,89
153,Mad Max: Fury Road 1,Movie,Classic,"Action, Action",Intense psychological thriller.,2018-05-07,8.4,74
154,No Time to Die,Movie,Indie,Fantasy,A masterpiece of direction and acting.,2025-07-23,7.8,89
155,Black Panther,Movie,Indie,"Horror, Sci-Fi",Mind-bending visuals and deep philosophical themes.,2022-03-24,6.3,98
156,No Time to Die,Movie,Hollywood,"Horror, Sci-Fi",A masterpiece of direction and acting.,2021-09-09,7.9,69
157,Joker,Movie,International,"Mystery, Adventure",Visual spectacle with groundbreaking effects.,2012-10-07,9.8,92
158,Knives Out,Movie,International,"Romance, Biography",Revolutionary storytelling and stunning action.,2017-03-14,6.7,71
159,Tenet,Movie,Hollywood,Thriller,Heartwarming tale with unforgettable characters.,2018-03-01,6.8,69
160,The Godfather,Movie,International,Romance,Heartwarming tale with unforgettable characters.,2012-10-12,6.8,90
161,Jojo Rabbit,Movie,Classic,Sci-Fi,A gripping story of heroism and sacrifice.,2018-11-01,8.9,78
162,Get Out,Movie,Indie,"Drama, Comedy",Visual spectacle with groundbreaking effects.,2017-03-04,6.7,75
163,The Shawshank Redemption 6,Movie,Hollywood,Thriller,A gripping story of heroism and sacrifice.,2025-04-25,7.1,71
164,Jojo Rabbit 5,Movie,International,"Biography, Sci-Fi",Intense psychological thriller.,2018-08-22,6.5,87
165,The Shawshank Redemption,Movie,Classic,"Adventure, Action",Visual spectacle with groundbreaking effects.,2016-09-04,6.8,98
166,Knives Out,Movie,Classic,"Mystery, Biography",A masterpiece of direction and acting.,2021-08-31,7.0,84
167,Oppenheimer,Movie,Bollywood,Drama,Mind-bending visuals and deep philosophical themes.,2025-12-29,7.0,79
168,Parasite,Movie,Bollywood,Mystery,An epic journey through space and time.,2021-02-02,6.6,76
169,Black Panther,Movie,Bollywood,"Horror, Thriller",Revolutionary storytelling and stunning action.,2018-01-11,8.5,98
170,Barbie,Movie,Hollywood,Crime,A gripping story of heroism and sacrifice.,2019-06-05,6.1,87
171,Black Panther 3,Movie,Bollywood,Action,A gripping story of heroism and sacrifice.,2015-12-15,6.6,71
172,Knives Out,Movie,Hollywood,"Action, Romance",A masterpiece of direction and acting.,2018-01-24,8.9,85
173,Forrest Gump,Movie,Indie,Biography,A gripping story of heroism and sacrifice.,2014-02-26,9.1,87
174,The Batman 4,Movie,International,Crime,Visual spectacle with groundbreaking effects.,2021-04-04,7.4,79
175,The Shawshank Redemption 9,Movie,Classic,Romance,Intense psychological thriller.,2019-10-19,7.1,70
176,The Shawshank Redemption,Movie,International,Action,Visual spectacle with groundbreaking effects.,2022-07-03,8.5,80
177,Tenet,Movie,International,"Fantasy, Sci-Fi",An epic journey through space and time.,2024-07-26,8.6,92
178,The Godfather,Movie,Blockbuster,Sci-Fi,Heartwarming tale with unforgettable characters.,2021-05-20,8.6,96
179,Tenet 1,Movie,Bollywood,Comedy,An epic journey through space and time.,2015-12-16,7.5,78
180,Jojo Rabbit,Movie,Blockbuster,Crime,Revolutionary storytelling and stunning action.,2016-12-10,8.7,76
181,Parasite,Movie,International,Crime,Visual spectacle with groundbreaking effects.,2023-01-29,7.6,71
182,Pulp Fiction 9,Movie,Blockbuster,"Mystery, Romance",A gripping story of heroism and sacrifice.,2025-04-24,6.1,68
183,Pulp Fiction 4,Movie,International,"Mystery, Crime",A masterpiece of direction and acting.,2024-03-18,8.3,82
184,Spider-Man: No Way Home,Movie,Indie,Sci-Fi,A gripping story of heroism and sacrifice.,2023-09-11,7.0,87
185,The Revenant,Movie,Bollywood,Horror,Mind-bending visuals and deep philosophical themes.,2022-03-28,8.3,77
186,Jojo Rabbit 7,Movie,Indie,Fantasy,Visual spectacle with groundbreaking effects.,2023-11-16,6.1,86
187,La La Land,Movie,International,Crime,Revolutionary storytelling and stunning action.,2025-06-26,8.6,78
188,The Dark Knight 1,Movie,Blockbuster,"Mystery, Sci-Fi",Intense psychological thriller.,2025-07-24,6.9,77
189,Get Out,Movie,Indie,Fantasy,Mind-bending visuals and deep philosophical themes.,2013-09-25,8.0,72
190,The Irishman,Movie,Bollywood,Romance,An epic journey through space and time.,2016-12-14,8.2,75
191,Jojo Rabbit,Movie,Blockbuster,Sci-Fi,Heartwarming tale with unforgettable characters.,2017-11-06,6.8,77
192,Inception,Movie,Indie,"Thriller, Comedy",A masterpiece of direction and acting.,2025-06-11,6.8,90
193,Interstellar,Movie,Classic,Romance,An epic journey through space and time.,2022-09-30,7.6,85
194,The Revenant,Movie,Indie,Adventure,Visual spectacle with groundbreaking effects.,2025-02-16,6.9,90
195,The Godfather,Movie,Bollywood,"Romance, Sci-Fi",An epic journey through space and time.,2019-03-15,9.6,69
196,No Time to Die,Movie,International,Action,Visual spectacle with groundbreaking effects.,2023-10-16,8.0,79
197,Tenet,Movie,Bollywood,Romance,A masterpiece of direction and acting.,2015-10-04,9.7,82
198,1917,Movie,Classic,"Mystery, Comedy",Heartwarming tale with unforgettable characters.,2018-09-24,8.2,88
199,Jojo Rabbit,Movie,Indie,Fantasy,A gripping story of heroism and sacrifice.,2025-01-05,9.2,78
200,Avengers: Endgame 4,Movie,Classic,Fantasy,Heartwarming tale with unforgettable characters.,2023-02-10,7.1,87
201,Barbie,Movie,Bollywood,Mystery,A gripping story of heroism and sacrifice.,2021-08-10,9.8,89
202,Pulp Fiction 7,Movie,Classic,Biography,Intense psychological thriller.,2015-06-26,7.4,71
203,La La Land,Movie,Bollywood,"Romance, Mystery",A masterpiece of direction and acting.,2018-08-18,9.7,65
204,Interstellar,Movie,International,Biography,Revolutionary storytelling and stunning action.,2018-05-20,9.4,75
205,The Matrix,Movie,Blockbuster,Thriller,Mind-bending visuals and deep philosophical themes.,2021-02-28,7.8,70
206,The Godfather,Movie,Classic,Horror,Mind-bending visuals and deep philosophical themes.,2021-10-17,7.0,81
207,Barbie,Movie,Bollywood,Comedy,Intense psychological thriller.,2019-12-30,6.0,76
208,Joker,Movie,Bollywood,"Comedy, Action",Heartwarming tale with unforgettable characters.,2016-01-26,8.1,86
209,The Batman,Movie,Hollywood,"Comedy, Biography",Heartwarming tale with unforgettable characters.,2022-03-06,6.1,66
210,Interstellar 9,Movie,Classic,"Drama, Drama",An epic journey through space and time.,2023-03-07,9.0,84
211,The Batman,Movie,Classic,Romance,Intense psychological thriller.,2020-12-23,6.6,91
212,Mad Max: Fury Road,Movie,Hollywood,Thriller,Intense psychological thriller.,2014-07-25,9.1,91
213,The Godfather,Movie,International,"Horror, Fantasy",Heartwarming tale with unforgettable characters.,2022-05-27,8.3,72
214,Pulp Fiction,Movie,Classic,Sci-Fi,Heartwarming tale with unforgettable characters.,2022-06-08,7.7,87
215,The Irishman 1,Movie,Hollywood,Fantasy,Revolutionary storytelling and stunning action.,2018-07-03,6.9,96
216,Oppenheimer,Movie,Bollywood,"Horror, Romance",A gripping story of heroism and sacrifice.,2016-11-29,9.1,95
217,Once Upon a Time in Hollywood,Movie,Bollywood,Biography,Intense psychological thriller.,2024-06-17,8.6,73
218,Parasite,Movie,Indie,Romance,Mind-bending visuals and deep philosophical themes.,2015-11-24,9.0,93
219,Inception,Movie,International,"Biography, Mystery",Visual spectacle with groundbreaking effects.,2020-06-19,9.1,80
220,The Revenant,Movie,Blockbuster,Drama,Revolutionary storytelling and stunning action.,2015-03-16,6.6,78
221,Dune 6,Movie,Classic,Fantasy,Visual spectacle with groundbreaking effects.,2013-05-21,9.3,96
222,Fight Club,Movie,International,"Thriller, Crime",Revolutionary storytelling and stunning action.,2017-06-13,9.0,77
223,Parasite,Movie,Classic,Sci-Fi,Mind-bending visuals and deep philosophical themes.,2021-04-19,7.1,70
224,Joker,Movie,Blockbuster,"Comedy, Drama",An epic journey through space and time.,2021-04-13,6.1,98
225,Inception,Movie,Blockbuster,"Sci-Fi, Drama",Heartwarming tale with unforgettable characters.,2023-08-11,9.6,96
226,Everything Everywhere All at Once,Movie,Classic,"Mystery, Mystery",A gripping story of heroism and sacrifice.,2019-05-23,9.1,66
227,Whiplash,Movie,Bollywood,"Thriller, Drama",Mind-bending visuals and deep philosophical themes.,2017-07-24,7.3,88
228,The Shawshank Redemption 5,Movie,International,"Comedy, Biography",Mind-bending visuals and deep philosophical themes.,2024-01-06,9.1,69
229,The Dark Knight,Movie,Hollywood,Mystery,A masterpiece of direction and acting.,2021-07-22,6.6,93
230,The Dark Knight 3,Movie,Hollywood,"Mystery, Horror",A masterpiece of direction and acting.,2017-10-26,7.2,99
231,Tenet,Movie,Blockbuster,"Comedy, Drama",Visual spectacle with groundbreaking effects.,2022-11-02,6.4,77
232,Pulp Fiction,Movie,International,"Sci-Fi, Comedy",An epic journey through space and time.,2020-09-30,7.7,71
233,Pulp Fiction,Movie,Classic,Crime,Revolutionary storytelling and stunning action.,2018-05-13,8.5,92
234,Dune 2,Movie,International,Adventure,An epic journey through space and time.,2022-01-28,6.8,86
235,Jojo Rabbit,Movie,Indie,Biography,Visual spectacle with groundbreaking effects.,2015-06-21,7.6,77
236,Interstellar 7,Movie,International,Comedy,Intense psychological thriller.,2024-05-09,6.9,86
237,The Grand Budapest Hotel,Movie,Blockbuster,Action,Heartwarming tale with unforgettable characters.,2014-07-04,6.8,93
238,Parasite,Movie,Classic,Comedy,A gripping story of heroism and sacrifice.,2022-04-24,9.7,80
239,Spider-Man: No Way Home,Movie,Bollywood,Biography,A masterpiece of direction and acting.,2019-05-21,8.8,90
240,Spider-Man: No Way Home,Movie,Blockbuster,Horror,Intense psychological thriller.,2020-02-19,8.0,92
241,Joker 2,Movie,International,Fantasy,Mind-bending visuals and deep philosophical themes.,2019-12-18,7.8,73
242,Parasite,Movie,Indie,Biography,Visual spectacle with groundbreaking effects.,2015-06-07,6.9,73
243,Tenet,Movie,Classic,"Romance, Drama",A masterpiece of direction and acting.,2023-01-13,7.3,85
244,Spider-Man: No Way Home 2,Movie,International,"Mystery, Mystery",A gripping story of heroism and sacrifice.,2022-03-05,7.0,88
245,No Time to Die 9,Movie,Hollywood,"Adventure, Action",A gripping story of heroism and sacrifice.,2020-07-08,7.1,77
246,Fight Club,Movie,International,"Drama, Thriller",Intense psychological thriller.,2021-09-24,8.6,92
247,The Batman 1,Movie,Indie,"Crime, Comedy",A masterpiece of direction and acting.,2025-04-18,7.0,71
248,Spider-Man: No Way Home,Movie,Classic,Comedy,A gripping story of heroism and sacrifice.,2014-07-22,6.8,83
249,Once Upon a Time in Hollywood,Movie,Classic,"Comedy, Biography",A masterpiece of direction and acting.,2025-09-12,6.4,71
250,Forrest Gump,Movie,Indie,"Crime, Thriller",Revolutionary storytelling and stunning action.,2024-10-27,6.5,74
251,Oppenheimer,Movie,Blockbuster,"Action, Comedy",A gripping story of heroism and sacrifice.,2019-12-09,6.1,73
252,The Shawshank Redemption,Movie,Indie,Comedy,Mind-bending visuals and deep philosophical themes.,2013-03-03,7.5,68
253,Parasite 5,Movie,Hollywood,"Sci-Fi, Crime",Heartwarming tale with unforgettable characters.,2023-06-05,8.7,94
254,Dune,Movie,Classic,Crime,An epic journey through space and time.,2017-12-03,8.1,94
